UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Hard Money [ BTC LTC ETH #crypto ],@hardmoneynow,2013-01-01T23:10:31.000Z,"Hard Money [ BTC LTC ETH #crypto ]
@hardmoneynow
·
Jan 1, 2013",The congress duped you into not selling before the cliff...now its too late to sell and you are at their mercy!! Brilliant!!! $AAPL $QQQ,,,2,,[],https://twitter.com/hardmoneynow/status/286248063322959872
Michael Li,@GameplayApps,2013-01-01T02:59:37.000Z,"Michael Li
@GameplayApps
·
Dec 31, 2012",6 Tech Predictions for 2013: #Apple Will Embrace NFC and #BlackBerry Will Make the Comeback of The Decade http://bit.ly/UFdNL1 $AAPL $RIMM,,,8,1,[],https://twitter.com/GameplayApps/status/285943331354181632
Ben C. Banks,@BenCBanks,2013-01-01T17:12:37.000Z,"Ben C. Banks
@BenCBanks
·
Jan 1, 2013","I dont like the fiscal cliff deal, dont agree with it but at this point I dont think there is another choice, choose your fights. $SPY $AAPL",,,,,[],https://twitter.com/BenCBanks/status/286157994822074369
Stock Recaps,@StockRecaps,2013-01-01T06:44:34.000Z,"Stock Recaps
@StockRecaps
·
Jan 1, 2013","$Stock Analyst Downgrades Analyst Downgrades: $AAPL Apple Inc. (AAPL), Herbalife, and Tibco Software + more Stoc http://bit.ly/UFtjXk  #AAPL",,,,,[],https://twitter.com/StockRecaps/status/285999942743494656
aaplstock,@AAPLstock,2013-01-01T20:54:11.000Z,"aaplstock
@AAPLstock
·
Jan 1, 2013",Apple (AAPL) Poised for “Big Year” in 2013 - Imassera News http://bit.ly/Vy0PeF,,,1,,[],https://twitter.com/AAPLstock/status/286213756625772544
Max Ganik,@MaxGanik,2013-01-01T20:38:46.000Z,"Max Ganik
@MaxGanik
·
Jan 1, 2013",Published $AAPL estimate on Estimize: +3.73 EPS and +12.84B Revs compared to Wall Street's consensus. http://stmz.it/RLNhuU,,,,,[],https://twitter.com/MaxGanik/status/286209875531423744
Ivan Jr,@ivanjr,2013-01-01T14:59:21.000Z,"Ivan Jr
@ivanjr
·
Jan 1, 2013","RT 
@SAI
: The Netbook Is Really Dead: Asus (And The Rest) Won't Make Any More In 2013 $MSFT $AAPL $GOOG by 
@jyarow",,,1,,[],https://twitter.com/ivanjr/status/286124458849234944
Home Tech Experts,@HomeTechsNY,2013-01-01T18:07:48.000Z,"Home Tech Experts
@HomeTechsNY
·
Jan 1, 2013","More Details On Intel's Secret Plan To Beat Apple With Its Own TV Service (INTC, AAPL) http://feedproxy.google.com/~r/typepad/alleyinsider/silicon_alley_insider/~3/F3es1AycAcY/intel-tv-2013-1…",,,1,,[],https://twitter.com/HomeTechsNY/status/286171885136388096
Brian Schunke,@schunke16,2013-01-01T02:31:32.000Z,"Brian Schunke
@schunke16
·
Dec 31, 2012","Synchronoss Takes Aim At Apple, Amazon And Google With NewBay Acquisition http://seekingalpha.com/a/nc83 $T $VZ $AAPL $AMZN $GOOG $SNCR",,,2,,[],https://twitter.com/schunke16/status/285936262987264000
Kevin,@Ktr8der,2013-01-01T21:10:34.000Z,"Kevin
@Ktr8der
·
Jan 1, 2013","Commented on StockTwits: True, but his $aapl case was an investment or longer swing call with well stated data on gr... http://stks.co/fIEp",,,,,[],https://twitter.com/Ktr8der/status/286217879672721408
Stock Recaps,@StockRecaps,2013-01-01T08:45:22.000Z,"Stock Recaps
@StockRecaps
·
Jan 1, 2013",$C Heavily Traded Stocks: $AAPL Apple Inc. (NASDAQ:AAPL) & Citigroup Inc. (NYSE:C) + more $C Citigroup Inc. News http://bit.ly/TDKFBK  #AAPL,,,,,[],https://twitter.com/StockRecaps/status/286030342668816384
Peter S Kastner,@Peterskastner,2013-01-01T19:41:08.000Z,"Peter S Kastner
@Peterskastner
·
Jan 1, 2013","#Google is #Apple ecosystem poison: better iOS apps from $GOOG makes hw vulnerable to swapout. Pay attention, $AAPL!",,,,,['https://pbs.twimg.com/card_img/1637484723512434690/4xzCetgF?format=png&name=small'],https://twitter.com/Peterskastner/status/286195370999050241
economy_guide,@economy_guide,2013-01-01T00:38:30.000Z,"economy_guide
@economy_guide
·
Dec 31, 2012","Will Samsung Beat Apple Inc. (AAPL)'s 'iTV' to the Punch?: 
Will Samsung Beat Apple Inc. (AAPL)'s 'iTV' to the P... http://bit.ly/YI42d0",,,1,,[],https://twitter.com/economy_guide/status/285907818219991040
