UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Jorge,@stormtrooper987,2010-01-01T07:50:36.000Z,"Jorge
@stormtrooper987
·
Jan 1, 2010",http://nxy.in/mmyqg  $AAPL CEO Job's is listed here..,,,,,[],https://twitter.com/stormtrooper987/status/7263850329
BB,@bergwax,2010-01-01T02:54:22.000Z,"BB
@bergwax
·
Dec 31, 2009",Will the #Apple #iTablet or #iSlate be announced on Jan 26??? Fingers crossed. $AAPL,,,,,[],https://twitter.com/bergwax/status/7256558935
CNBC's Fast Money,@CNBCFastMoney,2010-01-01T00:25:08.000Z,"CNBC's Fast Money
@CNBCFastMoney
·
Dec 31, 2009",Should You Stick with the Top Sector of 2009? http://cnbc.com/id/34646981  $AAPL $AMZN $GLW $GOOG $MOT $RIMM $VZ #StockMarket #StockPicks,,,,1,[],https://twitter.com/CNBCFastMoney/status/7252889492
Marian,@supratrade,2010-01-01T17:55:14.000Z,"Marian
@supratrade
·
Jan 1, 2010",Kaufmann Brothers lifted share price estimates for Apple Inc ( AAPL ) and increased its outlook on NVIDIA Corporation ( NVDA) to buy.,,,,1,[],https://twitter.com/supratrade/status/7274477863
derek tatsuno,@derektatsuno,2010-01-01T16:53:44.000Z,"derek tatsuno
@derektatsuno
·
Jan 1, 2010","$AAPL ROCKS http://nxy.in/mmyqg 

The Real Futures Secret http://nxy.in/a49wu

 #1 Trader's Toolbox http://nxy.in/p4apq",,,,1,[],https://twitter.com/derektatsuno/status/7273106869
Skip L.,@irondragonfly8,2010-01-01T03:00:29.000Z,"Skip L.
@irondragonfly8
·
Dec 31, 2009","Closed out $AAPL Feb 160/150P vert for .00 + commish,bot 160P GTC order for 0.03 @ open,sold 150P for 0.03 as AAPL was declining",,,,,[],https://twitter.com/irondragonfly8/status/7256709201
Imad Naffa,@imadnaffa,2010-01-01T08:17:48.000Z,"Imad Naffa
@imadnaffa
·
Jan 1, 2010","If You Already Have An iPhone And A MacBook, Why Would You Want A Tablet? (AAPL) http://bit.ly/4IlmvO",,,,1,[],https://twitter.com/imadnaffa/status/7264436920
Assassin,@CashSits,2010-01-01T23:20:43.000Z,"Assassin
@CashSits
·
Jan 1, 2010","$AAPL will continue to be the dominating force in electronics. INNOVATION!!!!! is all I need to argue, anyone have an averse opinion?",,,,,[],https://twitter.com/CashSits/status/7282082310
Deepak Deeeep Mehta,@deeeep,2010-01-01T00:30:32.000Z,"Deepak Deeeep Mehta
@deeeep
·
Dec 31, 2009",$AAPL will soon pass $GOOG in market cap... Oooh did I mention the Thorium based power source on the iTablets? :-P,,,,,[],https://twitter.com/deeeep/status/7253028765
BoardCentral,@BoardCentral,2010-01-01T14:30:10.000Z,"BoardCentral
@BoardCentral
·
Jan 1, 2010",Twitter Stock buzz: $AAPL $SPY $N $QQQQ $YRCW (09:30 am) #stocks #finance #stockmarket #StockPicks,,,,,[],https://twitter.com/BoardCentral/status/7270179223
: TapeSlave,@TapeSlave,2010-01-01T06:04:43.000Z,": TapeSlave
@TapeSlave
·
Jan 1, 2010",AAPL should run to about 220 before their Jan event.  The tablet will do less that expected so sell before the keynote.,,,,,[],https://twitter.com/TapeSlave/status/7261562549
: TapeSlave,@TapeSlave,2010-01-01T06:08:06.000Z,": TapeSlave
@TapeSlave
·
Jan 1, 2010","2010 will be the year AAPL introduces sweeping change, and 2011 will be the year they transform everything.",,,,,[],https://twitter.com/TapeSlave/status/7261653208
WSFatCats,@WSFatCats,2010-01-01T04:14:44.000Z,"WSFatCats
@WSFatCats
·
Dec 31, 2009","I uploaded a YouTube video -- RIMM AAPL Misses 12/31/09 Total Day Recap +$1,940 http://youtu.be/B-73_BkSXqY?a",,,,,[],https://twitter.com/WSFatCats/status/7258534902
English Trader,@EnglishTrader,2010-01-01T21:11:16.000Z,"English Trader
@EnglishTrader
·
Jan 1, 2010","$aapl Launching Slate, iTablet on 26th Jan at San Francisco's Yerba Buena Center http://bit.ly/7nDAPI",,,,,[],https://twitter.com/EnglishTrader/status/7279050411
Nate Smoyer,@NateSmoyer,2010-01-01T18:22:02.000Z,"Nate Smoyer
@NateSmoyer
·
Jan 1, 2010",what are your $stock picks for the year??? $DAR $ETFC $AAPL    http://ow.ly/RHwB,🏡,,,,[],https://twitter.com/NateSmoyer/status/7275100153
Tech Investor News,@TechInvestNews,2010-01-01T20:02:13.000Z,"Tech Investor News
@TechInvestNews
·
Jan 1, 2010",You'd think New Year's Day would be a slow news day for Apple! ($AAPL) Think again: http://www.techinvestornews.com/Apple/page-one.html,,,,1,[],https://twitter.com/TechInvestNews/status/7277427221
Steven Wolphram,@getautoquotes,2010-01-01T01:27:03.000Z,"Steven Wolphram
@getautoquotes
·
Dec 31, 2009",Apple (AAPL) COO Cook Possible GM CEO Candidate? - BI http://bit.ly/52AD0U,,,,,[],https://twitter.com/getautoquotes/status/7254435815
